# name      tag            r     g     b     a     tx   ty    tz     sx    sy    sz     

Cube        interactable   0.86  0.08  0.24  1.0    2    0     0     0.5   0.5   0.5
Cube2       interactable   0.71  0.49  0.86  1.0    0    0    -20    0.5   0.5   0.5
Cube3       interactable   0.71  0.49  0.86  1.0    0    15   -40    0.5   0.5   0.5
Cube4       interactable   0.25  0.88  0.82  1.0    0    15   -85    0.5   0.5   0.5
Cube5       interactable   0.44  0.5   0.56  1.0    -15  3    -130   0.5   0.5   0.5

EndZone     endzone   	   0.44  0.5   0.56  1.0    0    .9    -180   5   5   0.5

Floor       none           1.0   0.4   0.7   1.0    0   -1.5  -0.5   5.0   1.0  50.0
Floor2      none           1.0   0.4   0.7   1.0    0   -1.5  -2.7   5.0   1.0  50.0
Ceiling     none           0.68  0.85  0.90  1.0    0   10     0     5.0   1.0  500.0

Wall        none           1.0   1.0   1.0   1.0    0    0     2     5.0  10.0  10.0
Wall2       none           0.52   0.63   0.73   1.0    0    0    -7.65     5.0   2.5  7.0
Wall3       none           1.0   1.0   1.0   1.0    5    0     0     1.0  10.0  500.0
Wall4       none           1.0   1.0   1.0   1.0   -5    0     0     1.0  10.0  60.0
Wall5       none           0.71  0.49  0.86  1.0    0    0    -2.5   5.0  2.5  10.0
Wall6       none           0.71  0.49  0.86  1.0    3    0    -36    1.0  1.0   1.0
Wall7       none           1.0   1.0   1.0   1.0   -5    0     -2.1     1.0  10.0  60.0

# make a hole in the wall
Wall8_Top     none   	1.0  1.0  1.0  1.0   	-5  1.5  -65        1.0  4.5  1.0
Wall8_Bottom  none   	1.0  1.0  1.0  1.0   	-5 -0.75  -65        1.0  4.5  1.0
Wall8_Left    none   	1.0  1.0  1.0  1.0   	-5  0.0  -24.75      1.0  10.0  2.5
Wall8_Right   none   	1.0  1.0  1.0  1.0   	-5  0.0  -27.25      1.0  10.0  2.5

Wall9       none           0.71  0.49  0.86  1.0    3    0    -61    1.0   1.0   1.0

Door        door           0.86  0.08  0.24  1.0    0    0   -10     5.0   2.5   0.5
Door2       door           0.25  0.88  0.82  1.0    0   -2   -16     5.0   0.5   5.0
Door3       door           0.71  0.49  0.86  1.0    0    4   -7.03     5.0   0.5   5.8
